Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800,
   316,10/27/13 03:00:19,11,270.33, 96.71,1024.4,270.3,N,  0.00, 90.00,279.23, 21.11, 21.12, 20.94, 16.46, 14.77,109.85,148.38,237.98,264.17,266.36,267.84,266.65,
   317,10/27/13 03:00:44,11,270.22, 96.85,1024.4,270.5,N,  0.00, 90.00,279.23, 21.12, 20.76, 20.80, 16.41, 14.81,109.50,148.29,237.93,264.18,266.55,267.35,266.22,
   318,10/27/13 03:01:09,11,270.29, 97.06,1024.3,270.1,N,  0.00, 90.00,279.23, 20.94, 20.64, 20.39, 16.01, 14.01,109.05,147.86,237.62,264.22,266.46,267.27,266.17,
   319,10/27/13 03:01:34,11,270.24, 97.27,1024.4,269.6,N,  0.00, 90.00,279.23, 20.36, 20.48, 20.11, 15.67, 13.86,108.55,147.37,237.56,264.18,266.46,267.16,266.40,
   320,10/27/13 03:01:59,11,270.28, 97.34,1024.3,269.5,N,  0.00, 90.00,279.23, 20.61, 20.49, 19.97, 15.93, 14.20,108.65,147.30,237.57,264.09,266.38,267.23,266.39,
   321,10/27/13 03:02:24,11,270.23, 97.47,1024.3,269.4,N,  0.00, 90.00,279.23, 20.82, 20.38, 20.11, 15.91, 14.43,108.90,147.72,237.95,264.32,266.44,267.48,266.37,
   322,10/27/13 03:02:49,11,270.33, 97.63,1024.3,269.5,N,  0.00, 90.00,279.23, 20.43, 20.39, 20.05, 16.23, 13.91,108.65,147.64,237.70,264.33,266.39,267.27,266.57,
   323,10/27/13 03:04:44,11,270.31, 98.16,1024.3,270.1,N,  0.00, 90.00,279.20, 21.15, 20.67, 19.92, 16.00, 14.50,109.08,147.37,237.17,264.22,266.99,267.73,266.72,
   324,10/27/13 03:05:08,11,270.27, 98.24,1024.2,270.3,N,  0.00, 90.00,279.20, 20.93, 20.63, 19.68, 16.00, 14.35,109.41,147.98,237.72,264.26,266.95,267.46,266.96,
   325,10/27/13 03:05:33,11,270.30, 98.46,1024.3,270.6,N,  0.00, 90.00,279.20, 20.97, 20.68, 20.35, 16.05, 14.60,109.60,148.01,237.72,264.06,266.90,267.27,266.89,
   326,10/27/13 03:05:58,11,270.29, 98.52,1024.2,270.6,N,  0.00, 90.00,279.20, 21.17, 20.65, 20.10, 16.41, 14.69,109.54,147.95,237.40,264.07,266.58,267.03,266.75,
   327,10/27/13 03:06:23,11,270.29, 98.43,1024.3,270.5,N,  0.00, 90.00,279.20, 20.71, 20.65, 19.84, 15.80, 14.31,108.64,147.35,237.52,264.13,266.54,267.72,266.58,
   328,10/27/13 03:06:48,11,270.19, 98.43,1024.3,269.3,N,  0.00, 90.00,279.20, 20.90, 20.24, 19.44, 15.73, 13.67,108.03,147.01,237.49,264.34,266.76,267.73,267.31,
   329,10/27/13 03:07:13,11,270.21, 98.51,1024.2,269.1,N,  0.00, 90.00,279.20, 20.84, 20.44, 19.96, 16.04, 14.04,108.93,147.44,237.28,264.16,266.64,267.40,266.79,
   330,10/27/13 03:07:38,11,270.30, 98.53,1024.2,269.7,N,  0.00, 90.00,279.20, 20.81, 20.50, 19.83, 15.85, 14.71,109.15,147.66,237.51,264.25,266.81,267.49,267.40,
   331,10/27/13 03:08:03,11,270.33, 98.59,1024.2,269.7,N,  0.00, 90.00,279.20, 20.68, 20.55, 19.87, 16.10, 14.23,109.00,147.47,237.72,264.32,266.99,267.38,266.86,
   332,10/27/13 03:08:28,11,270.28, 98.55,1024.2,269.6,N,  0.00, 90.00,279.20, 20.85, 20.48, 19.80, 16.02, 14.42,109.19,147.57,237.75,264.34,266.72,267.38,267.18,
   333,10/27/13 03:10:23,11,270.22, 98.44,1024.2,268.3,N,  0.00, 90.00,279.16, 20.50, 20.57, 19.57, 15.97, 14.38,109.13,147.64,237.85,264.34,266.76,267.72,266.69,
   334,10/27/13 03:10:47,11,270.18, 98.43,1024.3,269.6,N,  0.00, 90.00,279.16, 20.91, 20.70, 19.98, 16.43, 14.62,109.49,147.73,237.97,264.10,266.63,267.68,266.75,
   335,10/27/13 03:11:12,11,270.20, 98.55,1024.3,269.9,N,  0.00, 90.00,279.16, 21.20, 21.04, 20.36, 17.08, 15.38,110.74,148.75,237.86,264.03,266.55,267.46,266.62,
   336,10/27/13 03:11:37,11,270.25, 98.50,1024.3,270.1,N,  0.00, 90.00,279.16, 21.31, 21.12, 20.25, 16.74, 15.53,110.54,148.57,237.80,264.31,266.29,267.49,266.60,
   337,10/27/13 03:12:02,11,270.21, 98.44,1024.4,269.7,N,  0.00, 90.00,279.16, 21.35, 21.16, 20.36, 16.92, 15.47,110.32,148.39,237.84,264.22,266.42,267.14,266.53,
   338,10/27/13 03:12:27,11,270.29, 98.38,1024.3,270.0,N,  0.00, 90.00,279.16, 21.08, 20.84, 20.47, 16.50, 14.98,110.05,148.34,237.53,264.28,266.47,267.49,266.63,
   339,10/27/13 03:12:52,11,270.30, 98.12,1024.3,269.8,N,  0.00, 90.00,279.16, 20.91, 20.80, 20.10, 16.41, 14.75,109.87,148.16,237.84,264.14,266.41,267.57,266.77,
   340,10/27/13 03:13:17,11,270.32, 97.95,1024.3,269.7,N,  0.00, 90.00,279.16, 20.90, 20.93, 19.83, 16.45, 14.89,109.85,147.93,237.61,264.18,266.44,267.90,266.80,
   341,10/27/13 03:13:42,11,270.23, 97.84,1024.3,269.6,N,  0.00, 90.00,279.16, 20.70, 20.28, 19.77, 16.43, 14.94,109.81,148.02,237.99,264.05,266.46,267.63,266.76,
   342,10/27/13 03:14:07,11,270.33, 97.67,1024.3,269.5,N,  0.00, 90.00,279.16, 20.58, 20.53, 19.95, 16.17, 14.64,109.44,147.69,237.79,264.24,266.65,267.83,266.50,
   343,10/27/13 03:16:02,11,270.36, 97.09,1024.2,269.5,N,  0.00, 90.00,279.10, 21.06, 20.44, 20.13, 16.22, 14.97,109.59,147.77,237.59,264.11,266.93,267.53,266.87,
   344,10/27/13 03:16:27,12,270.35, 97.03,1024.2,269.18,N,  0.00, 41.85,279.10, 30.17, 29.38, 27.81, 22.47, 21.71,145.76,186.82,255.99,266.29,267.09,268.15,267.63,
   345,10/27/13 03:16:51,12,270.35, 97.03,1024.2,269.18,N,  0.00, 30.15,279.10, 38.86, 38.10, 36.18, 28.24, 27.62,172.44,211.98,262.22,267.08,267.34,268.19,267.66,
   346,10/27/13 03:17:16,12,270.35, 97.03,1024.2,269.18,N,  0.00, 19.35,279.10, 55.85, 55.40, 51.65, 40.24, 39.23,209.52,240.96,265.81,267.53,267.93,268.86,268.13,
   347,10/27/13 03:17:40,12,270.35, 97.03,1024.2,269.18,N,  0.00, 10.35,279.10, 92.49, 91.24, 85.61, 69.20, 69.00,249.65,262.02,267.25,267.78,268.43,269.06,268.54,
   348,10/27/13 03:18:07,11,270.31, 96.36,1024.0,268.8,N,  0.00, 90.00,279.10, 20.86, 20.20, 19.86, 15.80, 14.43,109.02,147.74,237.85,264.30,266.79,268.00,267.06,
   349,10/27/13 03:18:32,12,270.25, 96.29,1024.1,268.80,N,  0.00, 41.85,279.10, 29.88, 29.47, 27.95, 22.11, 21.46,145.44,186.55,255.68,266.64,266.92,267.76,267.54,
   350,10/27/13 03:18:56,12,270.25, 96.29,1024.1,268.80,N,  0.00, 30.15,279.10, 38.79, 38.18, 36.10, 28.30, 27.64,172.91,212.28,262.46,267.22,267.40,268.24,267.75,
   351,10/27/13 03:19:21,12,270.25, 96.29,1024.1,268.80,N,  0.00, 19.35,279.10, 56.19, 55.46, 51.59, 40.56, 39.71,209.90,241.11,266.07,267.35,267.93,268.91,268.13,
   352,10/27/13 03:19:46,12,270.25, 96.29,1024.1,268.80,N,  0.00, 10.35,279.10, 92.03, 90.80, 85.40, 68.53, 68.12,249.22,261.89,266.94,268.15,268.33,268.98,268.34,
   353,10/27/13 03:20:12,11,270.26, 95.99,1024.1,269.4,N,  0.00, 90.00,279.10, 21.26, 20.76, 20.12, 16.56, 15.71,110.36,148.54,237.88,264.30,266.61,267.57,267.07,
   354,10/27/13 03:20:37,12,270.31, 95.94,1024.1,269.58,N,  0.00, 41.85,279.10, 30.28, 29.55, 28.15, 22.71, 22.26,145.89,187.06,256.34,266.59,267.03,268.05,267.50,
   355,10/27/13 03:21:01,12,270.31, 95.94,1024.1,269.58,N,  0.00, 30.15,279.10, 38.97, 38.10, 36.25, 28.11, 27.52,172.13,211.80,262.34,267.20,267.28,268.29,267.74,
   356,10/27/13 03:21:26,12,270.31, 95.94,1024.1,269.58,N,  0.00, 19.35,279.10, 56.38, 55.85, 51.66, 40.55, 39.98,209.81,240.86,266.04,267.79,267.94,268.61,268.29,
   357,10/27/13 03:21:51,12,270.31, 95.94,1024.1,269.58,N,  0.00, 10.35,279.10, 92.27, 91.09, 85.30, 68.29, 67.72,249.08,261.82,267.10,267.73,268.41,269.04,268.36,
   358,10/27/13 03:22:17,11,270.35, 95.55,1024.2,269.5,N,  0.00, 90.00,279.10, 21.28, 20.82, 20.03, 16.19, 15.47,109.99,148.37,237.66,263.97,266.71,267.43,266.66,
   359,10/27/13 03:22:42,12,270.33, 95.68,1024.2,269.58,N,  0.00, 41.85,279.10, 29.88, 29.15, 27.70, 21.89, 21.53,144.96,186.36,255.94,266.05,267.00,267.78,267.45,
   360,10/27/13 03:23:06,12,270.33, 95.68,1024.2,269.58,N,  0.00, 30.15,279.10, 39.64, 38.89, 36.89, 29.17, 28.71,173.36,212.58,262.25,267.23,267.42,268.23,267.35,
