Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch 171.000, Ch 174.000, Ch 176.000, Ch 182.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch 170.000, Ch 171.000, Ch 172.000, Ch 173.000, Ch 174.000, Ch 175.000, Ch 176.000, Ch 177.000, Ch 178.000, Ch 179.000, Ch 180.000, Ch 181.000, Ch 182.000, Ch 183.000, Ch 183.310, Ch 
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch 171.000, Ch 174.000, Ch 176.000, Ch 182.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch 
  2636,11/05/13 17:13:42,51,  0.00, 30.15,273.953,114.730,119.403,126.187,144.891,150.745,158.765,173.072,190.457,210.340,230.357,245.875,255.879,260.653,260.850,261.415,
  2637,11/05/13 17:14:05,51,  0.00, 41.85,273.976,100.574,102.739,106.556,123.983,127.371,133.951,148.054,164.362,185.313,207.433,229.481,245.516,254.919,258.259,258.319,
  2638,11/05/13 17:14:28,51,  0.00, 90.00,273.992, 76.891, 74.896, 76.392, 95.115, 96.522, 99.883,110.510,125.634,145.568,169.059,195.755,220.306,240.140,248.934,249.393,
  2639,11/05/13 17:14:51,51,  0.00,138.15,273.995,107.223,110.858,115.363,132.988,134.340,138.785,150.273,165.577,184.837,206.059,226.187,242.920,253.736,257.886,257.818,
  2640,11/05/13 17:15:14,51,  0.00,149.85,273.978,115.364,117.643,123.608,142.703,146.455,154.296,167.611,184.155,203.924,223.871,240.256,251.987,257.963,258.210,259.281,
  2641,11/05/13 17:15:17,41, 265.1460,  68.5300,1009.8000, 999.9990,0
  2642,11/05/13 17:16:03,51,  0.00, 30.15,273.981,117.061,121.261,127.990,146.983,152.437,158.476,171.656,189.324,208.860,228.116,245.482,255.484,259.685,260.377,261.181,
  2643,11/05/13 17:16:26,51,  0.00, 41.85,273.983, 96.340, 98.830,103.915,122.442,126.736,132.485,144.954,161.912,184.503,207.874,229.786,245.721,255.002,257.995,258.450,
  2644,11/05/13 17:16:49,51,  0.00, 90.00,273.988, 80.924, 85.441, 91.347,109.703,111.256,113.151,121.778,135.333,155.591,179.952,202.965,225.232,242.364,249.162,250.887,
  2645,11/05/13 17:17:12,51,  0.00,138.15,273.996, 95.311, 98.799,103.811,121.576,125.978,131.951,143.657,160.213,181.596,205.201,226.791,243.191,253.509,258.028,258.498,
  2646,11/05/13 17:17:35,51,  0.00,149.85,273.956,105.239,109.844,116.320,134.255,141.440,149.259,163.502,181.477,202.491,224.988,242.851,254.681,259.432,260.478,260.338,
  2647,11/05/13 17:17:38,41, 265.2000,  69.5400,1009.7000, 999.9990,0
  2648,11/05/13 17:18:24,51,  0.00, 30.15,273.955,110.944,116.803,123.349,142.778,150.368,158.774,172.451,191.484,211.115,229.044,245.340,254.950,259.506,259.804,260.565,
  2649,11/05/13 17:18:47,51,  0.00, 41.85,273.976,102.728,105.551,110.908,128.938,132.083,136.136,147.365,164.623,184.679,207.059,229.050,245.538,255.181,257.734,257.756,
  2650,11/05/13 17:19:10,51,  0.00, 90.00,273.958, 73.548, 74.555, 77.397, 93.704, 94.013, 96.780,108.283,125.124,144.193,167.508,195.601,220.009,239.534,247.548,248.380,
  2651,11/05/13 17:19:33,51,  0.00,138.15,274.005,105.058,108.881,113.351,130.539,134.638,140.127,151.247,166.811,185.152,206.830,228.092,243.676,254.148,257.991,257.710,
  2652,11/05/13 17:19:56,51,  0.00,149.85,273.960,125.725,129.604,135.114,152.887,158.636,164.789,175.703,191.084,208.924,226.366,243.294,253.258,258.358,259.364,259.675,
  2653,11/05/13 17:19:59,41, 265.2000,  68.2500,1009.9000, 999.9990,0
  2654,11/05/13 17:20:45,51,  0.00, 30.15,273.957,104.265,108.874,115.668,136.162,142.646,149.768,164.428,183.766,203.496,224.020,242.826,254.271,258.962,259.727,260.431,
  2655,11/05/13 17:21:08,51,  0.00, 41.85,273.992, 93.277, 97.483,103.161,122.169,126.529,131.789,144.503,161.926,181.564,205.311,227.416,244.177,253.804,257.265,257.003,
  2656,11/05/13 17:21:31,51,  0.00, 90.00,273.958, 75.234, 79.378, 84.272,102.729,105.283,109.028,117.814,131.243,150.678,173.551,198.656,222.002,239.675,248.207,250.327,
