0 1 020 4.16 06 06 09
4    5 325913 405900
4    6 328007 408487
4    7 330019 411178
4    8 332242 413919
4    9 334319 416448
4   10 325962 405900
1 14 12 10 17 09 08 64    2    0 305.70 306.76 261.15 251.11 191.20 157.58 457711 554187 558608 648165
2    1 14 12 10 17 09 08 64   0.233   0.0015  10.97  12.11  -1.00 325929 405884
2    2 14 12 10 17 09 28 59   0.237   0.0015  11.02  12.13  -1.00 325954 405892
3 14 12 10 17 09 08 64 10 191.29 157.53 1.000 1.000   0.234   0.0013  10.92  12.02
4    1 334134 416368
4    2 332315 413967
4    3 329979 411203
4    4 327780 408624
4    5 325929 405884
4    6 327966 408463
4    7 330003 411106
4    8 332250 413886
4    9 334319 416489
4   10 325954 405892
1 14 12 10 17 10 01 21    2    0 305.70 306.76 261.15 251.14 191.20 157.58 457792 554195 558721 648335
2    1 14 12 10 17 10 01 21   0.225   0.0016  10.90  12.18  -1.00 325970 405925
2    2 14 12 10 17 10 21 24   0.223   0.0015  10.86  12.14  -1.00 325946 405900
3 14 12 10 17 10 01 21 10 191.26 157.86 1.000 1.000   0.237   0.0012  10.92  11.96
4    1 334198 416335
4    2 332388 413999
4    3 330044 411195
4    4 327829 408600
4    5 325970 405925
4    6 327950 408527
4    7 330068 411211
4    8 332226 413894
4    9 334287 416384
4   10 325946 405900
1 14 12 10 17 10 53 72    2    0 305.70 306.76 261.15 251.18 191.20 157.58 457719 554195 558624 648246
2    1 14 12 10 17 10 53 72   0.241   0.0014  11.06  12.10  -1.00 325978 405876
2    2 14 12 10 17 11 13 65   0.237   0.0015  11.02  12.11  -1.00 325954 405884
3 14 12 10 17 10 53 72 10 191.37 157.66 0.999 1.000   0.231   0.0013  10.87  11.99
4    1 334133 416408
4    2 332388 414072
4    3 330003 411211
4    4 327813 408640
4    5 325978 405876
4    6 327991 408543
4    7 330027 411187
4    8 332218 413862
4    9 334247 416343
4   10 325954 405884
1 14 12 10 17 11 46 17    2    0 305.70 306.76 261.16 251.20 191.20 157.58 457719 554187 558640 648270
2    1 14 12 10 17 11 46 17   0.234   0.0015  10.99  12.11  -1.00 325930 405868
2    2 14 12 10 17 12 05 88   0.237   0.0014  11.00  12.09  -1.00 325938 405852
3 14 12 10 17 11 46 17 10 191.36 157.73 0.999 1.000   0.234   0.0012  10.87  11.95
4    1 334125 416376
4    2 332404 414048
4    3 329987 411154
4    4 327764 408592
4    5 325930 405868
4    6 328007 408560
4    7 329995 411146
4    8 332177 413813
4    9 334190 416238
4   10 325938 405852
1 14 12 10 17 12 38 20    2    0 305.70 306.76 261.17 251.20 191.20 157.58 457662 554179 558560 648254
2    1 14 12 10 17 12 38 20   0.241   0.0016  11.15  12.23  -1.00 325954 405925
2    2 14 12 10 17 12 58 04   0.248   0.0015  11.18  12.15  -1.00 325970 405876
3 14 12 10 17 12 38 20 10 191.43 157.79 0.999 0.999   0.235   0.0012  10.88  11.93
4    1 334182 416368
4    2 332444 414193
4    3 329930 411170
4    4 327740 408640
4    5 325954 405925
4    6 327926 408560
4    7 329939 411154
4    8 332161 413757
4    9 334142 416254
4   10 325970 405876
1 14 12 10 17 13 30 23    2    0 305.70 306.76 261.17 251.24 191.20 157.58 457727 554260 558568 648327
2    1 14 12 10 17 13 30 23   0.240   0.0013  11.01  12.03  -1.00 325946 405884
2    2 14 12 10 17 13 50 07   0.235   0.0015  11.01  12.14  -1.00 325946 405949
3 14 12 10 17 13 30 23 10 191.21 157.68 0.999 1.000   0.233   0.0012  10.89  11.98
4    1 334182 416456
4    2 332436 414177
4    3 329922 411106
4    4 327748 408592
4    5 325946 405884
4    6 328023 408584
4    7 329979 411106
4    8 332161 413813
4    9 334190 416303
4   10 325946 405949
1 14 12 10 17 14 22 44    2    0 305.70 306.77 261.17 251.26 191.20 157.58 457768 554284 558657 648319
2    1 14 12 10 17 14 22 44   0.232   0.0014  10.95  12.10  -1.00 325954 405949
2    2 14 12 10 17 14 42 23   0.234   0.0014  10.98  12.10  -1.00 325970 405949
3 14 12 10 17 14 22 44 10 191.26 157.68 0.999 0.999   0.238   0.0011  10.89  11.89
4    1 334158 416376
4    2 332485 414201
4    3 329898 411122
4    4 327764 408576
4    5 325954 405949
4    6 327958 408560
4    7 329963 411130
4    8 332186 413797
4    9 334206 416198
4   10 325970 405949
1 14 12 10 17 15 14 80    2    0 305.70 306.76 261.18 251.26 191.20 157.58 457687 554203 558592 648343
2    1 14 12 10 17 15 14 80   0.240   0.0015  11.06  12.13  -1.00 325929 405876
2    2 14 12 10 17 15 34 79   0.240   0.0015  11.08  12.16  -1.00 325938 405892
3 14 12 10 17 15 14 80 10 191.41 157.85 0.999 0.999   0.231   0.0012  10.85  11.95
4    1 334061 416343
4    2 332460 414209
4    3 329874 411049
4    4 327692 408560
4    5 325929 405876
4    6 327974 408503
4    7 329963 411073
4    8 332121 413749
4    9 334133 416230
4   10 325938 405892
1 14 12 10 17 16 07 12    2    0 305.70 306.77 261.19 251.23 191.20 157.58 457759 554268 558689 648294
2    1 14 12 10 17 16 07 12   0.231   0.0013  10.88  12.00  -1.00 325897 405860
2    2 14 12 10 17 16 26 95   0.235   0.0012  10.91  11.97  -1.00 325913 405844
3 14 12 10 17 16 07 12 10 191.28 157.54 0.999 0.999   0.234   0.0012  10.89  11.98
4    1 334085 416271
4    2 332452 414258
4    3 329850 411033
4    4 327659 408511
4    5 325897 405860
4    6 327942 408463
4    7 329947 411049
4    8 332129 413757
4    9 334158 416262
4   10 325913 405844
1 14 12 10 17 16 59 27    2    0 305.70 306.77 261.20 251.22 191.20 157.58 457808 554324 558705 648319
2    1 14 12 10 17 16 59 27   0.233   0.0011  10.83  11.89  -1.00 325913 405852
2    2 14 12 10 17 17 19 52   0.236   0.0012  10.89  11.93  -1.00 325946 405876
3 14 12 10 17 16 59 27 10 191.18 157.44 0.999 0.999   0.234   0.0013  10.90  11.99
4    1 334125 416279
4    2 332468 414315
4    3 329817 411049
4    4 327692 408519
4    5 325913 405852
4    6 327894 408455
4    7 329947 411065
4    8 332137 413757
4    9 334158 416287
4   10 325946 405876
1 14 12 10 17 17 53 14    2    0 305.70 306.77 261.20 251.24 191.20 157.58 457687 554260 558632 648262
2    1 14 12 10 17 17 53 14   0.241   0.0013  11.02  12.04  -1.00 325889 405876
