"TOA5","GND_CR3000","CR3000","8096","CR3000.Std.25","CPU:NSAC1_GND_140919.CR3","11856","Table213"
"TIMESTAMP","RECORD","PIR_Wm2_Avg","US_Wm2_Avg","IRT_K_Avg","PIR_Wm2_Std","US_Wm2_Std","IRT_K_Std","PIR_Wm2_Max","US_Wm2_Max","IRT_K_Max","PIR_Wm2_Min","US_Wm2_Min","IRT_K_Min","SAMP20(1)","SAMP20(2)","SAMP20(3)","SAMP20(4)","SAMP20(5)","SAMP40(1)","SAMP40(2)","SAMP40(3)","SAMP40(4)","SAMP40(5)","Dome_R_O","Case_R_O","Net_mV","US_mV","IRT_V","Batt_V_Min","CR3Temp_C_Avg"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Std","Std","Std","Max","Max","Max","Min","Min","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Avg"
"2014-12-10 17:00:00",117927,211.1443,-0.2930492,244.4386,0.057,0.024,0.076,211.3,-0.233,244.7,211,-0.349,244.3,78.00025,76.81261,-0.1106776,-0.002340614,0.8503059,78.02282,76.80332,-0.1110143,-0.002675043,0.8503202,78.01479,76.78768,-0.1116831,-0.003009424,0.8517277,13.34,11.13
"2014-12-10 17:01:00",117928,210.9875,-0.411443,244.3676,0.055,0.045,0.088,211.2,-0.311,244.6,210.9,-0.505,244.1,78.01198,76.76147,-0.1126881,-0.00334386,0.8450324,77.99597,76.73022,-0.1126881,-0.003678246,0.8503315,77.97192,76.7146,-0.1126881,-0.004012632,0.8476819,13.34,11.04
"2014-12-10 17:02:00",117929,210.94,-0.5227223,244.2929,0.051,0.028,0.105,211.1,-0.466,244.6,210.8,-0.543,243.9,77.93605,76.70305,-0.1123547,-0.004681448,0.8449587,77.90406,76.67183,-0.1126891,-0.004681448,0.8433027,77.87698,76.66106,-0.1126904,-0.004681502,0.8444691,13.35,10.97
"2014-12-10 17:03:00",117930,210.8647,-0.5460191,244.3095,0.05,0.01,0.136,211,-0.543,244.8,210.8,-0.582,244.1,77.84504,76.62987,-0.112356,-0.004681502,0.8453799,77.801,76.61807,-0.1123571,-0.004681545,0.8410836,77.75316,76.60249,-0.1123571,-0.004681545,0.8397588,13.35,10.92
"2014-12-10 17:04:00",117931,210.7698,-0.5085035,244.2056,0.059,0.031,0.086,210.9,-0.466,244.4,210.6,-0.543,244,77.73236,76.57442,-0.1126928,-0.004347199,0.841091,77.70049,76.56662,-0.1126928,-0.004347199,0.841091,77.66315,76.5535,-0.1123589,-0.004012819,0.8359597,13.35,10.89
"2014-12-10 17:05:00",117932,210.7274,-0.4082295,244.2657,0.057,0.043,0.106,210.8,-0.311,244.7,210.6,-0.466,244.1,77.62338,76.53015,-0.1120245,-0.003678418,0.845813,77.60748,76.50684,-0.1123589,-0.003344016,0.8397686,77.58721,76.49479,-0.1123594,-0.002675224,0.8386148,13.35,10.88
"2014-12-10 17:06:00",117933,210.7201,-0.2458446,244.2065,0.047,0.054,0.105,210.9,-0.155,244.5,210.6,-0.349,244,77.55543,76.47925,-0.112025,-0.002006418,0.8463982,77.52654,76.45874,-0.1120254,-0.002006424,0.8346447,77.51862,76.43547,-0.1120254,-0.001337616,0.842428,13.35,10.88
"2014-12-10 17:07:00",117934,210.7933,-0.05628563,244.298,0.058,0.067,0.097,210.9,0.078,244.6,210.6,-0.155,244.1,77.51295,76.42216,-0.1123601,-0.001003215,0.8437564,77.48914,76.3989,-0.1123601,-0.0003344049,0.8424315,77.46721,76.3852,-0.1120259,0.0003344056,0.8437592,13.35,10.89
"2014-12-10 17:08:00",117935,210.8866,0.1546244,244.2933,0.051,0.055,0.113,211,0.233,244.7,210.8,0.039,244,77.45136,76.36193,-0.1116915,0.001337623,0.837135,77.44487,76.35558,-0.1123605,0.001337625,0.8503855,77.42109,76.33233,-0.1120261,0.002006437,0.8437613,13.34,10.92
"2014-12-10 17:09:00",117936,210.9348,0.2866064,244.3409,0.059,0.046,0.119,211.1,0.388,244.9,210.8,0.194,244.1,77.39734,76.30135,-0.1116917,0.002006437,0.8411117,77.35101,76.27929,-0.1120267,0.002675264,0.8437631,77.32729,76.2561,-0.1120267,0.003009672,0.8373045,13.34,10.95
"2014-12-10 17:10:00",117937,210.9053,0.4114718,244.3772,0.042,0.036,0.099,211,0.466,244.6,210.8,0.349,244.2,77.28716,76.22456,-0.1120267,0.003344081,0.8437645,77.25557,76.20139,-0.1116923,0.003678489,0.8464142,77.22504,76.17925,-0.1120267,0.004012898,0.8479059,13.34,11
"2014-12-10 17:11:00",117938,210.8862,0.5033414,244.3879,0.045,0.033,0.127,211,0.543,244.9,210.8,0.466,244.2,77.1935,76.1638,-0.1123611,0.004347306,0.8464154,77.15338,76.13224,-0.1120268,0.004681715,0.8530371,77.12977,76.10139,-0.1120268,0.004681715,0.8425211,13.34,11.05
"2014-12-10 17:12:00",117939,210.8432,0.5913255,244.3937,0.059,0.031,0.112,211,0.621,244.7,210.7,0.543,244.2,77.08041,76.0762,-0.1120258,0.005016082,0.8411114,77.04108,76.05308,-0.1123602,0.005350487,0.8451687,77.04108,76.01461,-0.1126946,0.005350487,0.8438438,13.34,11.11
"2014-12-10 17:13:00",117940,210.8315,0.6359628,244.3079,0.046,0.019,0.099,211,0.66,244.5,210.7,0.621,244,77.02368,75.98986,-0.1130288,0.005350474,0.8437559,76.99226,75.9668,-0.1130288,0.005684879,0.8478132,76.96732,75.94239,-0.1130286,0.005684868,0.8397807,13.34,11.17
"2014-12-10 17:14:00",117941,210.7534,0.6696033,244.3084,0.065,0.025,0.094,210.9,0.699,244.7,210.6,0.621,244.1,76.93594,75.904,-0.1136974,0.005350464,0.8412712,76.91134,75.88759,-0.1136972,0.005684859,0.8424299,76.91134,75.86459,-0.1140316,0.005350456,0.8478948,13.33,11.23
"2014-12-10 17:15:00",117942,210.6897,0.6456622,244.2689,0.051,0.026,0.101,210.8,0.699,244.5,210.6,0.621,244,76.87756,75.83153,-0.114031,0.00601923,0.8411875,76.84624,75.80853,-0.114031,0.005350427,0.8372958,76.82864,75.78365,-0.1146988,0.005350381,0.8411837,13.33,11.3
"2014-12-10 17:16:00",117943,210.6116,0.5841963,244.2742,0.058,0.038,0.12,210.8,0.66,244.7,210.5,0.505,244.1,76.82079,75.76067,-0.1150332,0.005015982,0.8425913,76.82079,75.73006,-0.115702,0.005015982,0.8346424,76.81927,75.72095,-0.1160366,0.004347192,0.8439131,13.33,11.38
"2014-12-10 17:17:00",117944,210.5544,0.4192238,244.2397,0.062,0.062,0.096,210.7,0.543,244.5,210.4,0.311,244.1,76.81144,75.69037,-0.116371,0.004012792,0.8425883,76.82431,75.66473,-0.1173738,0.003343984,0.8439107,76.80866,75.64945,-0.1173738,0.002675187,0.8425859,13.33,11.45
"2014-12-10 17:18:00",117945,210.5098,0.2283725,244.2488,0.057,0.05,0.111,210.6,0.311,244.7,210.4,0.155,244,76.79079,75.61674,-0.1180423,0.002340783,0.8399343,76.79079,75.60148,-0.1180423,0.001671988,0.8439088,76.76707,75.59362,-0.1180416,0.001671978,0.8425754,13.33,11.53
"2014-12-10 17:19:00",117946,210.3916,0.1656171,244.1895,0.061,0.019,0.081,210.5,0.194,244.5,210.3,0.116,244,76.73585,75.57076,-0.1180416,0.001337582,0.8399258,76.7419,75.56145,-0.1187093,0.001671963,0.8385942,76.72628,75.5462,-0.1187093,0.001003178,0.8424857,13.32,11.61
"2014-12-10 17:20:00",117947,210.3682,0.1358564,244.184,0.039,0.019,0.08,210.5,0.155,244.3,210.3,0.116,244,76.71066,75.53857,-0.1187093,0.001003178,0.8443074,76.70145,75.5296,-0.1187085,0.00100317,0.8372674,76.68584,75.50674,-0.1187085,0.00100317,0.8412418,13.32,11.69
"2014-12-10 17:21:00",117948,210.3279,0.192784,244.1522,0.05,0.039,0.087,210.5,0.272,244.4,210.2,0.116,243.9,76.66761,75.49655,-0.1187073,0.001337547,0.8372589,76.62862,75.48896,-0.1183729,0.001671934,0.8346093,76.61871,75.47166,-0.1187064,0.002006305,0.8399051,13.32,11.78
"2014-12-10 17:22:00",117949,210.3089,0.3461028,244.1562,0.051,0.047,0.09,210.4,0.427,244.4,210.2,0.272,244,76.59531,75.46404,-0.118372,0.002675073,0.834606,76.57806,75.45477,-0.1183717,0.003343834,0.8387433,76.54693,75.43956,-0.1180374,0.003678218,0.8378325,13.32,11.86
"2014-12-10 17:23:00",117950,210.2935,0.506538,244.1247,0.054,0.052,0.086,210.4,0.621,244.3,210.2,0.427,243.9,76.52071,75.42916,-0.1180371,0.004012594,0.830627,76.48962,75.42155,-0.1180371,0.004346977,0.8372508,76.46633,75.39877,-0.1180371,0.005015742,0.8359261,13.31,11.94
"2014-12-10 17:24:00",117951,210.2228,0.72131,244.1414,0.047,0.072,0.134,210.3,0.815,244.6,210.1,0.582,243.9,76.45471,75.37226,-0.1183709,0.005684477,0.8372491,76.47025,75.37986,-0.1187053,0.006353239,0.8412234,76.44543,75.36318,-0.1190391,0.007021969,0.8398973,13.31,12.03
