213,2013,309,1711,250.87,249.37,-.84519,1.4092,-4.3737,250.94,1.844,1.874,.05,.103,.068,6.533,253.5,252,-.75,1.447,-4.211,285.1,247.3,245.6,-.9,1.034,-4.402,234.3,41.899,40.947,42.59,41.811,-.16507,-.16309,-.00726,.01158,-.03805,1.568,41.925,40.953,42.59,41.811,-.15682,-.15451,-.00792,.01158,-.03805,1.206,41.888,40.954,42.565,41.806,-.15022,-.1479,-.00792,.00827,-.03639,1.7563,13.29,12.11
213,2013,309,1712,255.48,254.09,-.94699,.93712,-4.0609,258.62,1.089,1.117,.041,.171,.16,1.105,257.1,255.7,-.9,1.24,-3.828,265.5,253.6,252.1,-1.012,.62,-4.211,257.5,41.932,40.954,42.636,41.812,-.14658,-.1446,-.00792,.00827,-.03639,1.8182,42.015,40.967,42.688,41.818,-.14361,-.14031,-.00858,.00827,-.03474,1.8177,42.027,40.979,42.682,41.818,-.14031,-.13701,-.00891,.00496,-.03308,1.8072,13.28,12.34
213,2013,309,1713,257.82,256.58,-1.0069,.36864,-3.5345,257.61,.465,.504,.02,.177,.142,.856,258.4,257.3,-.974,.62,-3.254,258.9,257,255.6,-1.049,.207,-3.828,255.7,42.021,40.997,42.721,41.837,-.13767,-.13503,-.00924,.00331,-.03143,1.783,42.002,41.004,42.734,41.85,-.13403,-.13238,-.00891,.00165,-.02977,1.7641,41.964,41.022,42.656,41.869,-.13106,-.12776,-.00858,.00165,-.02812,1.8153,13.27,12.53
213,2013,309,1714,259.01,257.84,-.93133,.53399,-3.1739,258.6,.284,.342,.039,.143,.107,.262,259.6,258.5,-.862,.62,-3.062,259.2,258.5,257.3,-.974,.207,-3.445,258,41.964,41.034,42.682,41.882,-.12875,-.12644,-.00825,.00496,-.02812,1.8181,41.945,41.047,42.714,41.894,-.12644,-.12512,-.00825,.00496,-.02646,1.8073,41.92,41.059,42.727,41.92,-.12413,-.12314,-.00759,.00496,-.02646,1.8158,13.27,12.7
213,2013,309,1715,259.79,258.69,-.86011,.58909,-2.9091,258.86,.167,.172,.011,.195,.077,.317,260.1,259,-.824,1.033,-2.871,259.6,259.4,258.3,-.899,.413,-3.062,258.2,41.953,41.073,42.716,41.934,-.12314,-.12082,-.00759,.00331,-.02481,1.8099,41.908,41.091,42.605,41.946,-.12082,-.11653,-.00759,.00496,-.02481,1.8385,41.921,41.091,42.644,41.946,-.1228,-.11983,-.00759,.00827,-.02481,1.8344,13.27,12.83
213,2013,309,1716,259.31,258.19,-.88508,1.0128,-2.874,258.35,.1,.129,.025,.062,.025,.764,259.5,258.4,-.862,1.033,-2.871,259.2,259,258,-.937,.827,-3.062,255.8,42.01,41.103,42.742,41.953,-.12577,-.12247,-.00792,.00827,-.02481,1.783,42.054,41.116,42.761,41.959,-.12643,-.12379,-.00825,.00827,-.02481,1.8243,42.016,41.128,42.781,41.966,-.1261,-.12445,-.00792,.00662,-.02481,1.8059,13.26,12.94
213,2013,309,1717,258.96,257.93,-.8682,.64763,-2.8643,258.64,.16,.157,.025,.07,.034,.431,259.2,258.2,-.824,.827,-2.679,260.1,258.5,257.4,-.899,.62,-2.871,256.7,42.042,41.141,42.8,41.978,-.12577,-.12445,-.00792,.00496,-.02481,1.8071,42.029,41.165,42.774,41.997,-.12544,-.12346,-.00759,.00496,-.02481,1.8324,41.985,41.178,42.735,42.016,-.12511,-.12313,-.00726,.00496,-.02481,1.8317,13.26,13.02
213,2013,309,1718,257.12,256.05,-.73765,1.1058,-2.9759,258.75,1.056,1.12,.067,.384,.142,.857,258.6,257.7,-.637,1.86,-2.679,261.7,255.1,254.1,-.862,.62,-3.253,254.8,41.934,41.184,42.657,42.029,-.12577,-.1228,-.0066,.00662,-.02481,1.8344,41.948,41.179,42.646,42.018,-.13105,-.12775,-.00627,.01158,-.02646,1.8175,41.948,41.173,42.581,42.005,-.13699,-.13204,-.00594,.01488,-.02812,1.7721,13.26,13.07
213,2013,309,1719,254.23,252.96,-.64395,1.8946,-3.4957,249.99,.365,.36,.017,.077,.13,8.98,255.1,253.9,-.6,2.067,-3.253,257.5,253.8,252.5,-.712,1.86,-3.827,228.4,41.954,41.161,42.588,41.999,-.14161,-.13765,-.00528,.01488,-.02977,1.5708,41.986,41.154,42.639,41.999,-.14359,-.13996,-.00561,.01654,-.03142,1.404,41.986,41.148,42.652,41.986,-.14029,-.13765,-.00594,.01488,-.03142,1.6829,13.26,13.11
213,2013,309,1705,242.66,241.06,-.79405,1.3577,-4.2149,238.97,1.311,1.445,.038,.166,.154,9.31,245.8,244.6,-.712,1.447,-4.02,254.7,241.4,239.7,-.862,1.034,-4.403,224.5,42.006,40.909,42.615,41.753,-.19646,-.19382,-.0066,.01158,-.03474,1.2603,42.05,40.903,42.654,41.76,-.20339,-.20141,-.00726,.01158,-.03805,.63732,41.987,40.897,42.641,41.766,-.20009,-.19877,-.00726,.00827,-.03805,.83346,13.32,10.54
