0 1 020 4.16 06 06 09
0 2 13 11 05 191.710 156.520 290.000  -0.005  -0.001 0.00164 0.00217 1   14   50  500 3.00
0 3 1000 1000 1000 0100 0010  19.350  23.400  30.150  41.850  90.000 138.150 149.850 156.600 160.650  90.000 180.000   0.998   0.100
0 4 1000 1000 1000 0100 0001  90.000 180.000
0 5  0.7938E-02 0.2178E+02 -.1333E+02 0.71322E-01 -.1335E-01 -.8702E-01 0.4509E+00 0.28327E-02 251.596 249.963   2.750
0 6 0000   1.000 223.150
1 13 11 05 09 30 33 06    2    0 305.75 307.18 272.60 264.40 191.80 156.54 465051 560070 566059 653150
2    1 13 11 05 09 30 33 06   0.303   0.0062  13.80  15.30  -1.00 328979 407405
2    2 13 11 05 09 30 53 47   0.303   0.0051  13.39  14.63  -1.00 328761 407009
3 13 11 05 09 30 33 06 10 189.69 153.61 0.971 0.963   0.289   0.0139  16.44  19.78
4    1 341540 424379
4    2 340158 423514
4    3 333417 413152
4    4 330782 409968
4    5 328979 407405
4    6 329982 408941
4    7 332811 412513
4    8 337248 418478
4    9 342243 425704
4   10 328761 407009
1 13 11 05 09 31 26 77    2    0 305.71 307.15 272.60 264.52 191.80 156.54 465010 560094 565890 653239
2    1 13 11 05 09 31 26 77   0.291   0.0010  11.75  12.20  -1.00 327872 405587
2    2 13 11 05 17 36 51 42   0.287   0.0003  11.46  11.79  -1.00 327719 405344
3 13 11 05 09 31 26 77 10 188.37 152.41 0.987 0.987   0.287   0.0126  15.96  19.04
4    1 341378 424363
4    2 337030 418123
4    3 333910 414098
4    4 330192 409143
4    5 327872 405587
4    6 330475 409862
4    7 331913 411277
4    8 337030 418575
4    9 340909 423360
4   10 327719 405344
