"TOA5","SKY_CR3000","CR3000","8097","CR3000.Std.25","CPU:NSAC1_SKY_141009.CR3","9121","Table213"
"TIMESTAMP","RECORD","PIR1_Wm2_Avg","PIR2_Wm2_Avg","BW_DD_Wm2_Avg","NIP_Wm2_Avg","PSPDS_Wm2_Avg","IRT_K_Avg","PIR1_Wm2_Std","PIR2_Wm2_Std","BW_DD_Wm2_Std","NIP_Wm2_Std","PSPDS_Wm2_Std","IRT_K_Std","PIR1_Wm2_Max","PIR2_Wm2_Max","BW_DD_Wm2_Max","NIP_Wm2_Max","PSPDS_Wm2_Max","IRT_K_Max","PIR1_Wm2_Min","PIR2_Wm2_Min","BW_DD_Wm2_Min","NIP_Wm2_Min","PSPDS_Wm2_Min","IRT_K_Min","SAMP20(1)","SAMP20(2)","SAMP20(3)","SAMP20(4)","SAMP20(5)","SAMP20(6)","SAMP20(7)","SAMP20(8)","SAMP20(9)","SAMP20(10)","SAMP40(1)","SAMP40(2)","SAMP40(3)","SAMP40(4)","SAMP40(5)","SAMP40(6)","SAMP40(7)","SAMP40(8)","SAMP40(9)","SAMP40(10)","Dome1_R_O","Case1_R_O","Dome2_R_O","Case2_R_O","Net1_mV","Net2_mV","BW_DD_mV","NIP_mV","PSPDS_mV","IRT_V","Batt_V_Min","CR3Temp_C_Avg"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Avg","Avg","Avg","Std","Std","Std","Std","Std","Std","Max","Max","Max","Max","Max","Max","Min","Min","Min","Min","Min","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Avg"
"2014-12-10 17:00:00",140747,185.0712,184.4086,0.6768836,4.169208,-1.803041,213.6474,0.232,0.23,0.017,0.085,0.069,1.151,185.5,184.8,0.686,4.293,-1.696,216,184.7,184,0.648,4.001,-1.927,211.5,88.2832,87.64419,87.81773,86.4262,-0.1627207,-0.1846831,0.005989721,0.03360899,-0.01530706,1.575652,88.28745,87.61955,87.85095,86.40211,-0.1640493,-0.1863441,0.005989631,0.03294297,-0.01563959,1.560701,88.29723,87.61955,87.87994,86.40211,-0.1647149,-0.1873423,0.005656874,0.03227746,-0.01663786,1.503459,13.12,12.24
"2014-12-10 17:01:00",140748,184.7112,184.0281,0.6349253,3.862114,-2.04003,214.4619,0.056,0.056,0.026,0.075,0.059,1.586,184.8,184.1,0.686,4.043,-1.927,216.8,184.6,183.8,0.61,3.751,-2.12,211.8,88.27135,87.61326,87.86395,86.396,-0.1647129,-0.1873401,0.00598956,0.03127881,-0.01730317,1.624027,88.24213,87.61326,87.84464,86.37717,-0.1647129,-0.1873401,0.005656806,0.03028055,-0.01796868,1.670051,88.23241,87.59403,87.82529,86.37717,-0.1647129,-0.1873401,0.005324053,0.03028055,-0.01830143,1.543774,13.11,12.36
"2014-12-10 17:02:00",140749,184.6133,183.9061,0.60949,3.664763,-2.190931,211.9716,0.06,0.066,0.005,0.05,0.042,0.84,184.7,184.1,0.61,3.793,-2.12,213.9,184.5,183.8,0.572,3.584,-2.274,210.3,88.21761,87.58901,87.772,86.37231,-0.1647106,-0.1873375,0.00532398,0.02961464,-0.01896668,1.509119,88.18842,87.56981,87.76236,86.35349,-0.1647106,-0.1873375,0.00532398,0.02894914,-0.01896668,1.470848,88.18438,87.55618,87.73904,86.34021,-0.1653736,-0.1876674,0.005323899,0.02861596,-0.01963188,1.458872,13.11,12.48
"2014-12-10 17:03:00",140750,184.3676,183.6278,0.6031253,3.543152,-2.267331,208.455,0.106,0.085,0.015,0.03,0.014,1.578,184.5,183.8,0.61,3.626,-2.235,211.4,184.1,183.5,0.572,3.459,-2.274,205.2,88.14551,87.54658,87.68123,86.33081,-0.1653736,-0.1876674,0.004991155,0.02828321,-0.01963188,1.386456,88.12859,87.53944,87.66445,86.31447,-0.165705,-0.1879987,0.005323857,0.02828299,-0.01963172,1.324586,88.08974,87.52022,87.61633,86.30508,-0.1660378,-0.1879987,0.005323857,0.02828299,-0.01929898,1.310317,13.11,12.61
"2014-12-10 17:04:00",140751,184.1277,183.4316,0.5935865,3.512555,-2.215926,209.0526,0.046,0.049,0.021,0.03,0.039,2.248,184.2,183.5,0.61,3.542,-2.12,212.3,184,183.3,0.534,3.459,-2.274,205,88.05489,87.50494,87.55297,86.28078,-0.1660367,-0.1879975,0.005323823,0.02795007,-0.0196316,1.295049,88.01609,87.48575,87.47614,86.262,-0.1660367,-0.1876647,0.004991084,0.02828281,-0.01896612,1.454477,87.98239,87.45238,87.4236,86.23878,-0.1660345,-0.186664,0.005323751,0.02828243,-0.0183004,1.449849,13.1,12.73
"2014-12-10 17:05:00",140752,184.0845,183.4483,0.6151838,3.556253,-2.075227,212.8334,0.067,0.083,0.016,0.024,0.042,0.847,184.2,183.6,0.648,3.626,-1.965,214.4,183.9,183.3,0.572,3.542,-2.158,210.8,87.97271,87.45238,87.38529,86.22004,-0.1660345,-0.186664,0.005323751,0.02828243,-0.01796766,1.477561,87.87598,87.43321,87.35654,86.19192,-0.165369,-0.186664,0.005323751,0.02828243,-0.01796766,1.566635,87.89737,87.40652,87.33946,86.16587,-0.1653672,-0.1863293,0.005323694,0.02861486,-0.01696927,1.514243,13.1,12.85
"2014-12-10 17:06:00",140753,184.2393,183.6327,0.6456792,3.630519,-1.919765,213.9379,0.074,0.071,0.012,0.037,0.048,0.789,184.4,183.8,0.686,3.709,-1.811,215.3,184,183.4,0.61,3.542,-2.004,211.9,87.82973,87.38734,87.29166,86.13777,-0.1643691,-0.1859966,0.005656425,0.02894759,-0.01696927,1.582203,87.78699,87.36408,87.24934,86.12444,-0.164367,-0.1856615,0.005656353,0.02894722,-0.0163036,1.612207,87.75804,87.33537,87.23976,86.10575,-0.1653651,-0.1866596,0.005656353,0.02961267,-0.01563815,1.559341,13.1,12.97
"2014-12-10 17:07:00",140754,183.3062,182.725,0.6609236,3.813145,-1.768166,211.5226,0.432,0.429,0.024,0.073,0.04,2.285,184.1,183.4,0.686,3.959,-1.696,215.4,182.4,181.9,0.61,3.709,-1.85,207.1,87.73157,87.31865,87.2231,86.07075,-0.1673605,-0.1886549,0.005656319,0.03027794,-0.01530533,1.530786,87.7219,87.29953,87.2231,86.05204,-0.1693568,-0.1906512,0.005656319,0.03094339,-0.01497261,1.385056,87.69687,87.25559,87.1983,86.01844,-0.1716837,-0.1936432,0.005988965,0.03160843,-0.01497241,1.393124,13.1,13.09
