0 1 020 4.16 06 06 09
0 2 13 11 05 191.710 156.520 290.000  -0.005  -0.001 0.00164 0.00217 1   14   50  500 3.00
0 3 1000 1000 1000 0100 0010  19.350  23.400  30.150  41.850  90.000 138.150 149.850 156.600 160.650  90.000 180.000   0.998   0.100
0 4 1000 1000 1000 0100 0001  90.000 180.000
4    5 329440 408432
4    6 329472 408375
4    7 333231 413427
4    8 339034 421728
4    9 344312 429681
4   10 328406 406492
1 13 11 05 17 46 11 07    2    0 305.73 307.04 272.55 264.46 191.80 156.54 464711 559820 565542 652859
2    1 13 11 05 17 46 11 07   0.298   0.0032  12.64  13.51  -1.00 328123 406112
2    2 13 11 05 17 46 30 95   0.293   0.0047  13.13  14.39  -1.00 328381 406637
3 13 11 05 17 46 11 07 10 190.26 154.46 0.958 0.947   0.269   0.0096  14.65  17.25
4    1 338089 419473
4    2 335842 416611
4    3 333126 413306
4    4 330256 409321
4    5 328123 406112
4    6 330273 409830
4    7 331841 411156
4    8 336666 417573
4    9 342389 426125
4   10 328381 406637
1 13 11 05 17 47 02 94    2    0 305.75 307.05 272.55 264.49 191.80 156.54 464638 559763 565510 652843
2    1 13 11 05 17 47 02 94   0.296   0.0045  13.09  14.27  -1.00 328292 406508
2    2 13 11 05 17 47 22 90   0.313   0.0068  14.15  15.68  -1.00 328850 407349
3 13 11 05 17 47 02 94 10 192.21 156.86 0.988 0.980   0.265   0.0049  12.85  14.44
4    1 338323 419683
4    2 336302 417387
4    3 334233 415035
4    4 332140 412578
4    5 328292 406508
4    6 330968 410905
4    7 333764 414599
4    8 335664 416240
4    9 339859 421712
4   10 328850 407349
1 13 11 05 17 47 55 07    2    0 305.76 307.06 272.55 264.36 191.80 156.54 464663 559723 565485 652826
2    1 13 11 05 17 47 55 07   0.301   0.0087  14.68  16.75  -1.00 329165 407939
2    2 13 11 05 17 48 14 85   0.289   0.0064  13.70  15.37  -1.00 328648 407122
3 13 11 05 17 47 55 07 10 193.28 158.46 0.985 0.978   0.259   0.0024  11.88  12.96
4    1 337490 418276
4    2 335648 416215
4    3 334055 414712
4    4 331962 412166
4    5 329165 407939
4    6 330119 409377
4    7 332867 412974
4    8 335817 416361
4    9 338662 419780
4   10 328648 407122
1 13 11 05 17 48 47 16    2    0 305.76 307.05 272.55 264.41 191.80 156.54 464606 559739 565453 652843
2    1 13 11 05 17 48 47 16   0.324   0.0090  15.11  17.03  -1.00 329343 408125
2    2 13 11 05 17 49 06 94   0.307   0.0094  15.02  17.20  -1.00 329295 408222
3 13 11 05 17 48 47 16 10 194.70 159.93 0.977 0.961   0.248   0.0002  10.93  11.64
4    1 336343 416183
4    2 335017 415124
4    3 333675 414195
4    4 330741 409959
4    5 329343 408125
4    6 330976 410719
4    7 332221 411802
4    8 335656 416272
4    9 338428 419570
4   10 329295 408222
1 13 11 05 17 49 39 00    2    0 305.76 307.05 272.54 264.45 191.80 156.54 464655 559795 565558 652907
2    1 13 11 05 17 49 39 00   0.304   0.0046  13.23  14.35  -1.00 328406 406589
2    2 13 11 05 17 49 58 77   0.286   0.0053  13.27  14.74  -1.00 328430 406823
3 13 11 05 17 49 39 00 10 192.28 156.91 0.948 0.920   0.258   0.0042  12.50  13.99
4    1 336011 415722
4    2 334371 414170
4    3 332406 412263
4    4 329990 408820
4    5 328406 406589
4    6 330054 409305
4    7 333619 414195
4    8 337442 419093
4    9 339608 421623
4   10 328430 406823
1 13 11 05 17 50 30 84    2    0 305.75 307.05 272.54 264.51 191.80 156.54 464687 559779 565574 652810
2    1 13 11 05 17 50 30 84   0.283   0.0025  12.21  13.08  -1.00 327904 405821
2    2 13 11 05 17 50 50 68   0.278   0.0059  13.39  15.08  -1.00 328527 407009
3 13 11 05 17 50 30 84 10 191.20 155.58 0.948 0.919   0.260   0.0067  13.47  15.51
4    1 336925 417315
4    2 334807 415003
4    3 332568 412150
4    4 330588 409911
4    5 327904 405821
4    6 330636 410178
4    7 334621 415941
4    8 338291 420693
4    9 340667 423385
4   10 328527 407009
1 13 11 05 17 51 22 43    2    0 305.75 307.04 272.54 264.49 191.80 156.54 464744 559811 565615 652915
2    1 13 11 05 17 51 22 43   0.296   0.0067  13.90  15.58  -1.00 328858 407341
2    2 13 11 05 17 51 42 27   0.299   0.0076  14.27  16.11  -1.00 329052 407656
3 13 11 05 17 51 22 43 10 192.40 157.09 0.937 0.903   0.257   0.0059  13.12  15.00
4    1 337272 417888
4    2 334597 414389
4    3 332625 412368
4    4 330143 409305
4    5 328858 407341
4    6 331808 412247
4    7 334532 415763
4    8 338000 420047
4    9 341370 424637
4   10 329052 407656
1 13 11 05 17 52 14 35    2    0 305.76 307.04 272.54 264.67 191.80 156.54 464646 559763 565566 652883
2    1 13 11 05 17 52 14 35   0.296   0.0075  14.22  16.09  -1.00 328931 407591
2    2 13 11 05 17 52 34 11   0.299   0.0091  14.82  17.01  -1.00 329246 408141
3 13 11 05 17 52 14 35 10 192.93 157.87 0.898 0.842   0.274   0.0049  12.96  14.46
4    1 336884 416999
4    2 333966 413298
4    3 332237 411713
4    4 330669 409984
4    5 328931 407591
4    6 332172 412861
4    7 335260 416757
