0 1 020 4.16 06 06 09
0 2 13 11 05 191.706 156.530 290.000  -0.005   0.000 0.00164 0.00217 1   14   50  500 3.00
0 3 1000 1000 1000 0100 0010  19.350  23.400  30.150  41.850  90.000 138.150 149.850 156.600 160.650  90.000 180.000   0.998   0.100
0 4 1000 1000 1000 0100 0001  90.000 180.000
4    5 329966 406152
4    6 332455 408957
4    7 335607 412320
4    8 339261 415957
4    9 342243 418818
4   10 330006 406314
1 13 11 05 03 09 08 18    2    0 305.78 306.95 276.57 265.77 191.77 156.53 467249 562382 568104 655356
2    1 13 11 05 03 09 08 18   0.526   0.0022  15.10  13.45  -1.00 329982 406258
2    2 13 11 05 03 09 27 98   0.533   0.0024  15.25  13.59  -1.00 330063 406338
3 13 11 05 03 09 08 18 10 192.06 156.54 0.999 0.998   0.515   0.0018  14.83  13.21
4    1 341823 417646
4    2 338889 414963
4    3 335858 412279
4    4 332972 409596
4    5 329982 406258
4    6 332609 409200
4    7 335421 412004
4    8 338986 415447
4    9 342186 418648
4   10 330063 406338
1 13 11 05 03 10 00 42    2    0 305.79 306.95 276.54 265.71 191.77 156.53 467193 562325 568015 655340
2    1 13 11 05 03 10 00 42   0.528   0.0028  15.36  13.86  -1.00 330087 406468
2    2 13 11 05 03 10 20 41   0.529   0.0031  15.47  14.02  -1.00 330143 406565
3 13 11 05 03 10 00 42 10 192.31 157.06 0.999 0.998   0.516   0.0013  14.64  12.88
4    1 341742 417468
4    2 338784 414825
4    3 335704 411964
4    4 332722 409248
4    5 330087 406468
4    6 332479 409070
4    7 335373 412012
4    8 338792 415157
4    9 341952 418309
4   10 330143 406565
1 13 11 05 03 10 53 11    2    0 305.78 306.95 276.49 265.65 191.77 156.53 467160 562261 568032 655300
2    1 13 11 05 03 10 53 11   0.532   0.0027  15.36  13.77  -1.00 330071 406379
2    2 13 11 05 03 11 13 03   0.527   0.0025  15.23  13.66  -1.00 330006 406314
3 13 11 05 03 10 53 11 10 192.38 157.01 0.999 0.999   0.513   0.0011  14.55  12.80
4    1 341613 417412
4    2 338695 414728
4    3 335591 411835
4    4 332665 409175
4    5 330071 406379
4    6 332520 409143
4    7 335340 411907
4    8 338719 414938
4    9 341799 417977
4   10 330006 406314
1 13 11 05 03 11 45 63    2    0 305.78 306.95 276.46 265.59 191.78 156.53 467112 562188 567959 655267
2    1 13 11 05 03 11 45 63   0.534   0.0018  15.06  13.25  -1.00 329885 406023
2    2 13 11 05 03 12 05 56   0.528   0.0020  15.06  13.36  -1.00 329885 406088
3 13 11 05 03 11 45 63 10 192.10 156.78 0.999 0.999   0.514   0.0013  14.63  12.90
4    1 341661 417436
4    2 338743 414680
4    3 335526 411802
4    4 332657 409127
4    5 329885 406023
4    6 332584 409280
4    7 335349 411915
4    8 338646 414785
4    9 341693 417824
4   10 329885 406088
1 13 11 05 03 12 37 96    2    0 305.78 306.95 276.41 265.54 191.78 156.53 467079 562220 567967 655300
