"TOA5","GND_CR3000","CR3000","8096","CR3000.Std.25","CPU:NSAC1_GND_140919.CR3","11856","Table213"
"TIMESTAMP","RECORD","PIR_Wm2_Avg","US_Wm2_Avg","IRT_K_Avg","PIR_Wm2_Std","US_Wm2_Std","IRT_K_Std","PIR_Wm2_Max","US_Wm2_Max","IRT_K_Max","PIR_Wm2_Min","US_Wm2_Min","IRT_K_Min","SAMP20(1)","SAMP20(2)","SAMP20(3)","SAMP20(4)","SAMP20(5)","SAMP40(1)","SAMP40(2)","SAMP40(3)","SAMP40(4)","SAMP40(5)","Dome_R_O","Case_R_O","Net_mV","US_mV","IRT_V","Batt_V_Min","CR3Temp_C_Avg"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Avg","Avg","Avg","Std","Std","Std","Max","Max","Max","Min","Min","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Min","Avg"
"2014-10-06 08:00:00",23787,292.9121,-3.14144,266.6618,0.351,0.035,0.113,293.5,-3.066,266.9,292.5,-3.221,266.4,31.08895,30.77514,-0.09026579,-0.02674542,1.737682,31.11549,30.76694,-0.09026427,-0.02674497,1.73632,31.11114,30.76263,-0.0885927,-0.0277479,1.741534,13.36,11.65
"2014-10-06 08:01:00",23788,293.9074,-3.255188,266.9289,0.308,0.038,0.111,294.5,-3.182,267.2,293.4,-3.337,266.8,31.07704,30.75264,-0.0859167,-0.02808172,1.745552,31.06833,30.74404,-0.0859167,-0.02808172,1.746876,31.08362,30.73336,-0.08491187,-0.02874969,1.758757,13.36,11.86
"2014-10-06 08:02:00",23789,294.3535,-3.393497,267.0831,0.173,0.031,0.098,294.7,-3.337,267.3,294,-3.454,266.9,31.04881,30.72048,-0.08390898,-0.02908399,1.757516,31.02755,30.70808,-0.08457571,-0.02941764,1.748126,31.02103,30.6995,-0.08524428,-0.02908334,1.752182,13.35,12.05
"2014-10-06 08:03:00",23790,294.1312,-3.324202,267.0156,0.141,0.043,0.084,294.4,-3.221,267.4,293.9,-3.376,266.8,31.01717,30.69141,-0.08524241,-0.02908271,1.7548,30.99331,30.68284,-0.0855767,-0.02841414,1.745531,30.98897,30.67641,-0.0855767,-0.02807985,1.750828,13.35,12.22
"2014-10-06 08:04:00",23791,294.2468,-3.223224,267.0061,0.215,0.026,0.103,294.6,-3.182,267.3,293.9,-3.298,266.8,30.99379,30.66833,-0.08590947,-0.02774508,1.753535,31.00464,30.66405,-0.08590947,-0.02774508,1.765452,30.97944,30.65203,-0.08490545,-0.02841324,1.748129,13.34,12.37
"2014-10-06 08:05:00",23792,294.6771,-3.296896,267.1075,0.164,0.032,0.098,294.9,-3.221,267.3,294.4,-3.376,266.8,30.97077,30.64347,-0.08457118,-0.02841324,1.75475,30.9802,30.63138,-0.08490451,-0.02841293,1.744536,30.97153,30.62284,-0.08490451,-0.0287472,1.757445,13.34,12.49
"2014-10-06 08:06:00",23793,294.7249,-3.457232,267.1376,0.077,0.058,0.067,294.9,-3.337,267.4,294.6,-3.531,267,30.96823,30.61104,-0.08557227,-0.02974974,1.761389,30.9509,30.6025,-0.08590654,-0.030084,1.761389,30.91938,30.59275,-0.08490242,-0.03008354,1.753422,13.34,12.6
"2014-10-06 08:07:00",23794,294.3678,-3.485616,267.0622,0.081,0.029,0.077,294.6,-3.453,267.2,294.2,-3.531,266.8,30.90209,30.58208,-0.08623947,-0.03008354,1.752098,30.93885,30.57355,-0.08824504,-0.02974927,1.752098,30.91408,30.56405,-0.08790969,-0.02974891,1.745625,13.34,12.68
"2014-10-06 08:08:00",23795,294.6482,-3.58192,267.0439,0.185,0.09,0.081,294.9,-3.453,267.2,294.3,-3.764,266.9,30.93355,30.55339,-0.08790969,-0.03041742,1.75208,30.94575,30.54197,-0.08891158,-0.03108563,1.753382,30.93709,30.53132,-0.08958009,-0.03242264,1.752058,13.34,12.75
"2014-10-06 08:09:00",23796,294.5374,-3.856064,267.0083,0.223,0.049,0.088,294.8,-3.764,267.3,294.1,-3.919,266.8,30.92964,30.51547,-0.09024787,-0.03309089,1.750724,30.88425,30.50271,-0.08991362,-0.03342514,1.75602,30.86189,30.49132,-0.09091579,-0.03375917,1.75468,13.34,12.79
"2014-10-06 08:10:00",23797,294.3701,-3.985363,266.9922,0.161,0.075,0.079,294.6,-3.88,267.2,294,-4.113,266.9,30.88997,30.4807,-0.09225278,-0.03375917,1.74806,30.90017,30.47585,-0.09258657,-0.0344275,1.755985,30.86345,30.46523,-0.09124958,-0.03543024,1.750606,13.34,12.83
"2014-10-06 08:11:00",23798,293.9828,-4.060352,266.883,0.204,0.063,0.071,294.5,-3.919,267,293.7,-4.152,266.7,30.80956,30.45461,-0.09058108,-0.03543024,1.748041,30.79615,30.44563,-0.09191771,-0.0347616,1.748032,30.77464,30.43715,-0.09124921,-0.03375887,1.742737,13.34,12.85
"2014-10-06 08:12:00",23799,293.4459,-3.742826,266.8477,0.147,0.129,0.086,293.7,-3.531,267.1,293.1,-3.919,266.7,30.76136,30.43253,-0.0919174,-0.03309026,1.746702,30.73559,30.42405,-0.0919174,-0.03175328,1.749432,30.76535,30.42162,-0.09291989,-0.03041622,1.741401,13.34,12.86
"2014-10-06 08:13:00",23800,294.0115,-3.460873,266.8762,0.19,0.036,0.078,294.2,-3.414,267.1,293.5,-3.531,266.7,30.80837,30.41526,-0.09325413,-0.02941349,1.746696,30.82967,30.41077,-0.09459092,-0.02974767,1.749836,30.79521,30.40018,-0.0929197,-0.03041616,1.750664,13.34,12.86
"2014-10-06 08:14:00",23801,294.4204,-3.610241,266.9827,0.159,0.066,0.091,294.7,-3.531,267.3,294.2,-3.725,266.8,30.82085,30.39575,-0.09392226,-0.03075035,1.746681,30.82516,30.38727,-0.09358802,-0.03141884,1.751977,30.82516,30.38304,-0.09459075,-0.03208732,1.749329,13.34,12.85
"2014-10-06 08:15:00",23802,294.9902,-3.908338,267.1045,0.197,0.1,0.124,295.2,-3.725,267.5,294.5,-4.074,266.8,30.8595,30.37442,-0.09459062,-0.03309001,1.755955,30.83362,30.36807,-0.09325365,-0.03442698,1.750659,30.77752,30.35948,-0.09191658,-0.03476118,1.754553,13.34,12.83
"2014-10-06 08:16:00",23803,294.8359,-4.02667,267.1178,0.09,0.038,0.082,295.1,-3.957,267.4,294.7,-4.074,266.9,30.75602,30.3489,-0.09191658,-0.03509542,1.753312,30.74732,30.34457,-0.09158226,-0.03442691,1.754715,30.78171,30.34035,-0.09258499,-0.03442691,1.761169,13.34,12.8
"2014-10-06 08:17:00",23804,295.4592,-4.111377,267.273,0.183,0.094,0.092,295.7,-3.996,267.5,295,-4.268,267.1,30.79454,30.3297,-0.09258492,-0.03509537,1.76258,30.79669,30.32336,-0.09225068,-0.03576385,1.765228,30.78189,30.31517,-0.09258527,-0.03676671,1.761343,13.35,12.77
"2014-10-06 08:18:00",23805,295.2331,-4.370701,267.2254,0.232,0.037,0.116,295.6,-4.268,267.6,294.8,-4.423,267,30.769,30.30883,-0.09258527,-0.03776944,1.759936,30.73891,30.30039,-0.09325375,-0.03810368,1.761177,30.72194,30.29427,-0.09325402,-0.03776955,1.757284,13.35,12.73
"2014-10-06 08:19:00",23806,294.8377,-4.33321,267.1324,0.186,0.036,0.092,295.3,-4.268,267.4,294.5,-4.384,266.9,30.71337,30.29005,-0.09425676,-0.03743531,1.757201,30.74573,30.28599,-0.09492546,-0.03710115,1.753316,30.76077,30.28178,-0.09459122,-0.03743539,1.757288,13.35,12.69
"2014-10-06 08:20:00",23807,294.8471,-4.362319,267.0782,0.257,0.03,0.092,295.3,-4.307,267.4,294.4,-4.384,266.9,30.71827,30.27589,-0.09392291,-0.03776971,1.753243,30.73545,30.27167,-0.09592838,-0.03776971,1.755643,30.7312,30.26539,-0.09759935,-0.03710112,1.750604,13.35,12.64
"2014-10-06 08:21:00",23808,294.3645,-4.207771,266.9676,0.082,0.061,0.069,294.5,-4.113,267.1,294.2,-4.307,266.8,30.73549,30.26118,-0.09826784,-0.03643263,1.750604,30.71009,30.25731,-0.09726571,-0.03576437,1.750686,30.77237,30.25521,-0.09993968,-0.03576437,1.746631,13.36,12.59
"2014-10-06 08:22:00",23809,294.972,-4.13019,267.1041,0.127,0.035,0.097,295.2,-4.035,267.4,294.6,-4.152,266.9,30.76592,30.2531,-0.0979342,-0.03576437,1.754575,30.67791,30.25097,-0.09325482,-0.03576439,1.754574,30.63724,30.24465,-0.09158359,-0.0350959,1.759953,13.36,12.53
"2014-10-06 08:23:00",23810,295.5149,-3.857337,267.2972,0.369,0.085,0.115,296.2,-3.725,267.6,295,-3.996,267.1,30.63539,30.24283,-0.09058167,-0.03375922,1.756402,30.65465,30.24072,-0.09024742,-0.03275647,1.766497,30.66409,30.24159,-0.08891068,-0.03242232,1.769233,13.36,12.47
"2014-10-06 08:24:00",23811,296.1662,-3.725434,267.4541,0.178,0.034,0.065,296.6,-3.647,267.6,295.9,-3.764,267.3,30.63841,30.23527,-0.08824218,-0.03242232,1.765096,30.65409,30.23385,-0.08857664,-0.03208815,1.769155,30.69265,30.23385,-0.08924515,-0.03208815,1.774368,13.36,12.41
